order_id;id_tariff;id_city;order_time;assign_time;arrive_time;ride_finish_time
1146020;111;13;04.08.2022 7:12;;;
1146340;114;11;02.08.2022 19:12;02.08.2022 19:19;02.08.2022 19:26;02.08.2022 19:50
1142747;112;13;01.08.2022 13:47;01.08.2022 13:53;01.08.2022 13:59;01.08.2022 14:16
1137227;111;17;03.08.2022 15:45;;;
1137156;111;13;02.08.2022 15:00;02.08.2022 15:02;02.08.2022 15:11;02.08.2022 15:26
1140550;111;15;02.08.2022 23:49;02.08.2022 23:51;03.08.2022 0:02;03.08.2022 0:13
1136783;113;12;01.08.2022 18:57;;;
1141067;111;11;06.08.2022 17:20;06.08.2022 17:27;06.08.2022 17:26;06.08.2022 17:48
1137853;114;11;02.08.2022 0:06;02.08.2022 0:11;02.08.2022 0:22;02.08.2022 0:43
1142356;111;12;06.08.2022 11:09;06.08.2022 11:13;06.08.2022 11:19;06.08.2022 11:33
1146958;114;12;05.08.2022 0:16;05.08.2022 0:22;;
1139247;114;12;03.08.2022 17:31;;;
1142496;111;11;01.08.2022 18:28;01.08.2022 18:29;01.08.2022 18:37;01.08.2022 18:58
1143630;113;19;05.08.2022 9:36;;;
1145244;113;15;01.08.2022 15:47;;;
1137074;111;18;04.08.2022 17:31;04.08.2022 17:35;04.08.2022 17:44;04.08.2022 17:51
1143951;115;16;02.08.2022 14:55;02.08.2022 14:58;02.08.2022 15:23;
1143779;112;16;02.08.2022 17:45;02.08.2022 17:49;02.08.2022 18:01;
1138630;111;11;03.08.2022 7:26;03.08.2022 7:29;03.08.2022 7:33;03.08.2022 7:58
1145339;114;14;01.08.2022 7:55;01.08.2022 7:59;01.08.2022 8:13;01.08.2022 8:23
1146914;112;11;03.08.2022 10:33;03.08.2022 10:38;03.08.2022 10:44;03.08.2022 11:09
1138086;111;17;01.08.2022 8:13;;;
1143569;114;13;04.08.2022 7:55;;;
1139608;113;11;03.08.2022 9:36;03.08.2022 9:38;03.08.2022 9:48;
1145045;113;15;05.08.2022 18:57;05.08.2022 18:59;;
1139900;112;11;06.08.2022 15:24;06.08.2022 15:30;06.08.2022 15:35;06.08.2022 15:57
1144309;112;11;02.08.2022 9:23;02.08.2022 9:29;02.08.2022 9:33;02.08.2022 9:58
1138864;113;12;01.08.2022 2:18;01.08.2022 2:21;01.08.2022 2:28;01.08.2022 2:47
1146508;114;12;06.08.2022 8:21;;;
1146740;113;17;05.08.2022 10:33;05.08.2022 10:39;;
1144405;112;12;01.08.2022 8:52;;;
1137781;113;15;01.08.2022 21:05;01.08.2022 21:12;01.08.2022 21:17;01.08.2022 21:31
